,일시,SPI1,SPI2,SPI3,SPI4,SPI5,SPI6,주암댐저수율(%),강우량(mm),동북댐저수율(%)
0,2022-10-01,-0.32,-1.48,-1.47,-1.42,-1.79,-1.96,36.3,0.0,
1,2022-10-02,-0.34,-1.48,-1.47,-1.41,-1.8,-2.0,36.0,0.0,
2,2022-10-03,-0.27,-1.51,-1.43,-1.41,-1.82,-2.0,35.7,0.0,
3,2022-10-04,-0.24,-1.59,-1.42,-1.39,-1.81,-2.0,35.6,28.9,
4,2022-10-05,0.16,-1.21,-1.23,-1.24,-1.65,-1.85,35.4,0.0,
5,2022-10-06,-0.44,-1.21,-1.25,-1.35,-1.66,-1.85,35.2,0.0,
6,2022-10-07,-1.07,-1.2,-1.22,-1.33,-1.65,-1.82,35.0,0.2,
7,2022-10-08,-1.05,-1.1,-1.21,-1.35,-1.61,-1.83,34.8,0.0,
8,2022-10-09,-0.97,-0.96,-1.23,-1.33,-1.62,-1.83,34.6,3.9,
9,2022-10-10,-0.81,-0.9,-1.18,-1.32,-1.61,-1.81,34.4,2.2,
10,2022-10-11,-0.73,-0.76,-1.16,-1.29,-1.58,-1.8,34.1,0.2,
11,2022-10-12,-0.64,-0.81,-1.2,-1.3,-1.58,-1.81,33.9,0.0,
12,2022-10-13,-0.63,-0.76,-1.1,-1.3,-1.59,-1.8,33.7,0.0,
13,2022-10-14,-0.6,-0.71,-1.08,-1.29,-1.56,-1.8,33.6,0.0,
14,2022-10-15,-0.55,-0.69,-1.1,-1.29,-1.54,-1.78,33.6,0.0,
15,2022-10-16,-0.5,-0.68,-1.05,-1.31,-1.53,-1.78,33.5,0.0,
16,2022-10-17,-0.42,-0.75,-1.01,-1.31,-1.53,-1.78,33.5,0.0,
17,2022-10-18,-0.21,-0.71,-0.95,-1.31,-1.53,-1.77,33.4,0.0,
18,2022-10-19,-0.16,-0.68,-1.28,-1.29,-1.51,-1.76,33.3,0.0,
19,2022-10-20,-0.15,-0.65,-1.27,-1.29,-1.51,-1.77,33.2,0.0,
20,2022-10-21,-0.12,-0.82,-1.26,-1.38,-1.5,-1.77,33.2,0.0,
21,2022-10-22,-0.11,-0.7,-1.26,-1.36,-1.51,-1.76,33.1,0.1,
22,2022-10-23,-0.23,-0.67,-1.24,-1.36,-1.51,-1.73,33.1,0.0,
23,2022-10-24,-0.21,-0.87,-1.35,-1.5,-1.51,-1.72,33.0,0.0,
24,2022-10-25,-0.14,-0.85,-1.41,-1.6,-1.51,-1.69,33.0,0.0,
25,2022-10-26,-0.13,-0.75,-1.39,-1.56,-1.51,-1.8,32.9,0.0,
26,2022-10-27,-0.13,-0.67,-1.33,-1.55,-1.51,-1.83,32.9,0.0,
27,2022-10-28,-0.11,-0.59,-1.32,-1.55,-1.51,-1.81,32.9,0.0,
28,2022-10-29,-0.12,-0.55,-1.32,-1.52,-1.49,-1.8,32.8,0.0,
29,2022-10-30,-0.14,-0.52,-1.32,-1.52,-1.47,-1.84,32.8,0.0,
30,2022-10-31,-0.15,-0.47,-1.31,-1.51,-1.48,-1.83,32.7,0.0,
31,2022-11-01,-0.19,-0.48,-1.5,-1.52,-1.48,-1.84,32.7,0.0,33.4
