일시,댐수위(EL.m),방수로수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),자체유입(㎥/s),조절지댐 신구도수유입(㎥/s),총방류량(㎥/s),광천1호기(㎥/s),"광천2,3호기(㎥/s)",수문(㎥/s),OUTLET 방류량(㎥/s),신도수터널(본댐→조절지)(㎥/s),구도수터널(본댐→조절지)(㎥/s),보조여수로(㎥/s),광주취수량-광주천(㎥/s),광주천(㎥/s),
2023-01-18,        94.0504,         0.0000,       134.1573,        29.4,         0.0,         5.983,        -0.377,         6.360,         5.072,         0.000,         0.000,         0.000,         0.030,         0.000,         0.000,         0.000,         5.042,         0.000,
2023-01-17,        94.0439,         0.0000,       134.0786,        29.3,         0.0,         9.376,         3.678,         5.698,         5.051,         0.000,         0.000,         0.000,         0.030,         0.000,         0.000,         0.000,         5.021,         0.000,
2023-01-16,        94.0130,         0.0000,       133.7049,        29.3,         0.0,        12.429,         6.249,         6.180,         5.072,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.043,         0.000,
2023-01-15,        93.9603,         0.0000,       133.0693,        29.1,         0.1,        14.384,         8.067,         6.317,         4.997,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         4.968,         0.000,
2023-01-14,        93.8928,         0.0000,       132.2583,        28.9,         0.0,        26.563,        20.172,         6.391,         5.034,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.005,         0.000,
2023-01-13,        93.7369,         0.0000,       130.3982,        28.5,        49.5,        32.767,        26.381,         6.386,         5.076,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.047,         0.000,
2023-01-12,        93.5341,         0.0000,       128.0057,        28.0,         2.8,         2.531,        -2.048,         4.579,         5.124,         0.000,         0.000,         0.000,         0.029,         0.032,         0.000,         0.000,         5.063,         0.000,
2023-01-11,        93.5532,         0.0000,       128.2298,        28.1,         0.0,         2.256,         0.236,         2.020,         5.097,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.068,         0.000,
2023-01-10,        93.5741,         0.0000,       128.4752,        28.1,         0.0,         2.482,         0.462,         2.020,         5.177,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.148,         0.000,
2023-01-09,        93.5939,         0.0000,       128.7080,        28.2,         0.0,         2.344,         0.324,         2.020,         5.083,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.054,         0.000,
2023-01-08,        93.6140,         0.0000,       128.9447,        28.2,         0.0,         2.382,         0.353,         2.029,         5.111,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.082,         0.000,
2023-01-07,        93.6340,         0.0000,       129.1804,        28.3,         0.0,         2.281,         0.251,         2.030,         5.095,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.066,         0.000,
2023-01-06,        93.6546,         0.0000,       129.4236,        28.3,         2.2,         2.275,         0.245,         2.030,         5.052,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.023,         0.000,
2023-01-05,        93.6749,         0.0000,       129.6635,        28.4,         0.0,         2.279,         0.240,         2.039,         5.142,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.113,         0.000,
2023-01-04,        93.6958,         0.0000,       129.9109,        28.4,         0.0,         2.170,         0.130,         2.040,         5.215,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.186,         0.000,
2023-01-03,        93.7180,         0.0000,       130.1739,        28.5,         0.0,         2.153,         0.153,         2.000,         5.175,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.146,         0.000,
2023-01-02,        93.7400,         0.0000,       130.4350,        28.5,         0.0,         1.877,        -0.123,         2.000,         5.178,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.149,         0.000,
2023-01-01,        93.7640,         0.0000,       130.7202,        28.6,         0.0,         1.824,        -0.176,         2.000,         5.158,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.129,         0.000,
2022-12-31,        93.7882,         0.0000,       131.0083,        28.7,         0.0,         0.572,        -1.428,         2.000,         5.195,         0.000,         0.000,         0.000,         0.029,         0.000,         0.000,         0.000,         5.166,         0.000,
